City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Gizo,-8.103,156.8419,302.28,75,99,0.95,SB,2024-05-06
112,Diego De Almagro,-26.3667,-70.05,288.1,51,0,0.71,CL,2024-05-06
113,College,64.8569,-147.8028,289.14,38,75,5.66,US,2024-05-06
114,Altamont,42.2068,-121.7372,279.06,68,100,7.2,US,2024-05-06
115,Waddan,29.1614,16.139,292.0,37,0,3.46,LY,2024-05-06
116,Anadyr,64.75,177.4833,269.43,68,40,3.0,RU,2024-05-06
117,Posto Fiscal Rolim De Moura,-13.0833,-62.2667,298.92,77,2,1.0,BR,2024-05-06
118,Belzyce,51.1741,22.2803,287.42,68,100,4.51,PL,2024-05-06
119,Steamboat Springs,40.485,-106.8317,289.46,34,100,7.2,US,2024-05-06
120,Isangel,-19.55,169.2667,301.21,69,40,2.57,VU,2024-05-06
121,La Rioja,42.25,-2.5,281.03,74,89,2.01,ES,2024-05-06
122,Broken Hill,-31.95,141.4333,290.39,42,0,5.64,AU,2024-05-06
123,Gemena,3.25,19.7667,296.96,67,0,1.27,CD,2024-05-06
124,Oroqen Zizhiqi,50.5667,123.7167,290.04,25,2,0.37,CN,2024-05-06
125,Rundu,-17.9333,19.7667,288.82,48,1,2.31,NA,2024-05-06
126,Port Lincoln,-34.7333,135.8667,289.51,75,6,4.97,AU,2024-05-06
127,Kapuskasing,49.4169,-82.4331,285.2,62,75,4.12,CA,2024-05-06
128,Dudinka,69.4058,86.1778,260.19,88,100,4.47,RU,2024-05-06
129,Bredasdorp,-34.5322,20.0403,285.45,70,89,1.98,ZA,2024-05-06
130,Georgetown,5.4112,100.3354,303.12,79,20,0.0,MY,2024-05-06
131,Sarria,42.7815,-7.4143,280.53,98,47,0.82,ES,2024-05-06
132,Wailua Homesteads,22.0669,-159.378,300.39,75,75,7.72,US,2024-05-06
133,Port Mathurin,-19.6833,63.4167,299.32,62,4,8.75,MU,2024-05-06
134,Saipan,15.1355,145.701,304.54,62,0,5.66,MP,2024-05-06
135,Yima,34.7381,111.8839,292.94,55,7,1.93,CN,2024-05-06
136,Port Sudan,19.6175,37.2164,299.6,53,0,2.29,SD,2024-05-06
137,Ambon,-3.6954,128.1814,302.52,95,40,0.51,ID,2024-05-06
138,Khanty-Mansiysk,61.0042,69.0019,270.21,63,0,3.0,RU,2024-05-06
139,Shimotoda,35.8094,139.6925,297.03,58,100,1.34,JP,2024-05-06
140,Birao,10.2849,22.7882,298.33,14,1,1.94,CF,2024-05-06
141,Iskateley,67.6803,53.1512,265.94,88,95,1.79,RU,2024-05-06
142,Lerwick,60.1545,-1.1494,282.15,97,96,2.37,GB,2024-05-06
143,Olyokminsk,60.3736,120.4264,277.01,98,100,0.3,RU,2024-05-06
144,Iqaluit,63.7506,-68.5145,270.0,80,100,5.14,CA,2024-05-06
145,Qarazhal,48.0078,70.7903,278.98,70,100,3.4,KZ,2024-05-06
146,Hawaiian Paradise Park,19.5933,-154.9731,297.06,86,99,2.24,US,2024-05-06
147,Jamestown,42.097,-79.2353,289.95,100,100,2.57,US,2024-05-06
148,Kafir Qala,34.6667,61.0667,292.74,59,3,1.74,AF,2024-05-06
149,Lorengau,-2.0226,147.2712,302.61,79,100,3.07,PG,2024-05-06
150,San Martin,-33.081,-68.4681,286.45,47,0,4.27,AR,2024-05-06
151,Keflavik,64.0049,-22.5624,277.1,87,75,9.26,IS,2024-05-06
152,Portland,45.5234,-122.6762,285.48,88,100,2.24,US,2024-05-06
153,Seeb,23.6703,58.1891,303.2,70,0,3.09,OM,2024-05-06
154,Broome,42.2506,-75.833,286.42,94,100,2.06,US,2024-05-06
155,Polyarnyy,69.1989,33.4478,271.53,84,100,7.87,RU,2024-05-06
156,Coquimbo,-29.9533,-71.3436,287.5,81,0,0.53,CL,2024-05-06
157,Mejit,10.2753,170.8646,301.09,74,87,7.61,MH,2024-05-06
158,Kodiak,57.79,-152.4072,280.88,66,100,4.63,US,2024-05-06
159,Chaparral,3.7232,-75.4832,294.37,93,100,1.7,CO,2024-05-06
160,Comodoro Rivadavia,-45.8667,-67.5,278.07,48,0,2.06,AR,2024-05-06
